i,j,ckt_id
1,3,22
1,300020,21
1,300024,20
4,300651,1
5,300630,1
5,301723,1
6,300055,1
7,300087,1
7,300249,1
8,300044,1
9,300103,1
10,300006,1
10,300103,1
11,300103,1
12,301441,1
13,16,2
13,301504,1
13,301508,1
14,16,1
15,301443,1
16,300172,HI
16,301507,1
17,300632,1
17,300636,1
18,300099,1
18,300523,1
19,300117,2
19,300541,3
20,-343002,A
20,343053,NO
21,300667,1
23,300079,Z1
24,301293,1
25,26,2
25,27,2
26,301244,1
26,301249,1
27,300075,1
27,505441,1
29,300170,1
31,300433,1
31,301682,2
34,300106,1
34,300357,1
34,300362,1
34,300393,1
35,301448,1
36,300391,1
37,300375,1
40,300211,A
41,300276,1
42,300074,Z1
43,301014,1
43,301171,1
43,301173,1
45,243240,1
46,243295,1
47,100,1
47,242941,1
47,243473,1
47,243473,2
48,22599,1
48,247163,1
49,174,1
49,243466,1
49,246760,1
51,246551,1
52,243716,1
53,243024,1
53,245656,2
54,55,1
54,243522,2
57,22689,VD
57,243058,1
58,91,1
58,152,1
58,22699,1
58,22949,1
58,243265,3
58,246520,1
58,246525,1
59,243719,1
59,243748,1
60,245017,2
61,22718,SU
61,22832,1
61,243530,1
61,243562,2
61,246980,1
61,247862,1
62,247202,A
62,247203,B
62,247204,C
64,22727,SU
64,245692,1
65,245223,1
65,245257,1
66,244989,1
67,245614,2
68,22738,1
68,22738,2
68,22738,T6
68,246384,1
68,246397,1
68,246408,1
69,242770,1
70,244664,1
71,243338,1
72,243721,1
74,218,1
74,22754,1
74,22755,3
74,22756,8
74,22757,9
74,242831,1
74,243799,1
76,243137,1
76,244341,1
76,290505,1
77,246756,1
77,246757,1
78,243871,1
78,246755,1
79,242873,1
79,242873,2
81,245857,1
82,174,1
82,246760,1
83,243587,1
84,242743,1
85,243458,1
85,243460,1
86,197,Z1
86,243119,1
86,243123,1
87,162,1
87,247953,1
87,247953,2
88,242671,SR
89,-244658,1
89,243367,1
91,22949,1
93,22958,1
93,242986,1
93,245964,1
95,247147,1
96,59,1
97,247153,1
98,247420,1
99,243360,1
99,243376,1
101,100,5
101,22886,R1
101,244020,Z3
101,244871,1
104,167,2
104,243578,1
104,243619,1
104,244283,1
105,22899,_P
105,22900,_P
105,244540,1
106,22899,_S
106,22900,_S
107,243736,1
109,245423,2
110,23033,1
110,245220,1
111,241,1
111,242705,1
112,243513,2
112,243526,1
112,243526,2
112,243553,1
113,243351,1
114,248003,1
115,242807,1
116,243110,1
117,246237,Z1
118,243721,1
119,253111,1
121,243252,1
121,243295,1
122,243343,1
124,244895,1
125,243299,1
125,243345,1
125,246535,1
125,246535,3
126,227,2
126,247698,1
127,247181,1
128,243175,1
129,171,1
129,247862,1
130,-239217,1
130,247700,1
130,247700,2
131,242,1
131,246010,1
132,242924,1
132,243064,2
134,903,1
135,242798,1
136,247926,1
136,270191,T2
137,243358,1
142,243411,1
142,246554,1
143,242763,1
144,246014,1
145,247238,1
145,247239,1
147,164,2
149,243007,1
149,245964,1
150,247001,1
151,147,1
154,155,5
156,157,T1
158,242773,1
158,242840,1
158,244073,1
158,246981,1
159,23050,1
159,243389,1
159,247790,2
162,242836,1
163,23069,_P
163,242827,Z1
165,243355,1
165,243360,1
166,245369,1
168,23080,R1
168,23080,R2
168,23080,R3
168,23081,R4
168,242703,1
169,243065,1
169,243092,1
169,243134,1
169,245697,1
169,290175,1
170,247562,2
171,243569,1
172,199,1
173,23090,T3
174,244232,1
175,172,2
175,245001,1
176,242628,1
177,243353,1
177,244142,1
179,6773,1
179,242886,2
181,206,1
182,52,1
182,23133,1
182,244727,1
182,244738,1
183,245615,1
185,187,1
186,242702,Z1
187,23179,1
188,23115,4
189,23117,_S
189,23119,_S
189,242807,2
189,243013,1
189,243559,1
